# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-10-21 07:25:40 522221225 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
   116     0.116000  0.015861820  0.000136197  0.945539903  0.325506209  0.000000000000000000 -31.727904777  31.727904777  31.727904777  0.000000999915879    91.783213 31.727904777154276 
   117     0.117000  0.015998017  0.000136150  0.945511709  0.325588097  0.000000000000000000 -31.728850873  31.728850873  31.728850873  0.000000999367067    91.667823 31.728850872773190 
   118     0.118000  0.016134166  0.000136164  0.945483503  0.325669995  0.000000000000056843 -31.729797412  31.729797412  31.729797412  0.000000999717969    91.552592 31.729797411660730 
   119     0.119000  0.016270331  0.000136116  0.945455273  0.325751941  0.000000000000000000 -31.730744820  31.730744820  31.730744820  0.000000999157507    91.437469 31.730744820388516 
   120     0.120000  0.016406447  0.000136130  0.945427031  0.325833897 -0.000000000000056843 -31.731692668  31.731692668  31.731692668  0.000000999502565    91.322507 31.731692667606076 
   121     0.121000  0.016542577  0.000136144  0.945398766  0.325915900  0.000000000000000000 -31.732641383  31.732641383  31.732641383  0.000000999846139    91.207653 31.732641383308128 
   122     0.122000  0.016678721  0.000136095  0.945370476  0.325997949  0.000000000000000000 -31.733590968  31.733590968  31.733590968  0.000000999270233    91.092907 31.733590967778650 
   123     0.123000  0.016814815  0.000136108  0.945342175  0.326080009  0.000000000000000000 -31.734540985  31.734540985  31.734540985  0.000000999607941    90.978322 31.734540984864129 
   124     0.124000  0.016950923  0.000136121  0.945313850  0.326162115  0.000000000000000000 -31.735491869  31.586134693  31.735491869  0.000000999944156    90.863845 31.586134693050383 
   125     0.125000  0.017087045  0.000136071  0.945285501  0.326244268  0.000000000000000000 -31.736443621  29.613711338  31.736443621  0.000000999352798    90.749477 29.613711338384974 
   126     0.126000  0.017223116  0.000136084  0.945257140  0.326326429  0.000000000000000000 -31.737395800  27.700747496  31.737395800  0.000000999683126    90.635270 27.700747495952527 
   127     0.127000  0.017359200  0.000136033  0.945228756  0.326408637 -0.000000000000056843 -31.738348845  25.871419820  31.738348845  0.000000999080122    90.521172 25.871419819512909 
   128     0.128000  0.017495233  0.000136046  0.945200361  0.326490854  0.000000000000000000 -31.739302312  24.098557119  31.739302312  0.000000999404548    90.407235 24.098557119057062 
   129     0.129000  0.017631278  0.000136058  0.945171942  0.326573117  0.000000000000000000 -31.740256644  22.403185380  31.740256644  0.000000999727462    90.293407 22.403185380326818 
   130     0.130000  0.017767336  0.000136006  0.945143498  0.326655426  0.000000000000000000 -31.741211840  20.770742992  31.741211840  0.000000999109004    90.179688 20.770742991814473 
   131     0.131000  0.017903342  0.000136018  0.945115044  0.326737743  0.000000000000000000 -31.742167453  19.190495989  31.742167453  0.000000999425996    90.066131 19.190495989366951 
   132     0.132000  0.018039360  0.000136030  0.945086566  0.326820107  0.000000000000000000 -31.743123929  17.679122551  31.743123929  0.000000999741466    89.952682 17.679122551371051 
   133     0.133000  0.018175390  0.000135977  0.945058064  0.326902516 -0.000000000000056843 -31.744081269  16.224538238  31.744081269  0.000000999107551    89.839343 16.224538238212460 
